Run #,Times 0,Times 1,Times 2,Times 3,Times 4,Times 5,Times 6,Times 7,Times 8,Times 9,Times 10,Times 11,Times 12,Times 13,Times 14,Times 15,Times 16,Times 17,Times 18,Times 19,Percent 0,Percent 1,Percent 2,Percent 3,Percent 4,Percent 5,Percent 6,Percent 7,Percent 8,Percent 9,Percent 10,Percent 11,Percent 12,Percent 13,Percent 14,Percent 15,Percent 16,Percent 17,Percent 18,Percent 19
106,511,488,499,514,501,486,493,504,470,458,506,477,506,520,506,509,542,535,478,497,5.11,4.88,4.99,5.14,5.01,4.86,4.93,5.04,4.7,4.58,5.06,4.77,5.06,5.2,5.06,5.09,5.42,5.35,4.78,4.97
107,541,495,474,467,507,526,499,483,480,493,513,539,495,519,475,484,532,488,490,500,5.41,4.95,4.74,4.67,5.07,5.26,4.99,4.83,4.8,4.93,5.13,5.39,4.95,5.19,4.75,4.84,5.32,4.88,4.9,5.0
108,501,510,563,500,485,497,470,503,537,449,506,491,492,501,485,480,509,521,490,510,5.01,5.1,5.63,5.0,4.85,4.97,4.7,5.03,5.37,4.49,5.06,4.91,4.92,5.01,4.85,4.8,5.09,5.21,4.9,5.1
109,502,507,514,477,524,489,450,534,486,508,517,485,511,473,475,514,500,514,515,505,5.02,5.07,5.14,4.77,5.24,4.89,4.5,5.34,4.86,5.08,5.17,4.85,5.11,4.73,4.75,5.14,5.0,5.14,5.15,5.05
110,511,505,490,487,505,481,500,532,484,497,510,530,478,496,469,553,500,471,497,504,5.11,5.05,4.9,4.87,5.05,4.81,5.0,5.32,4.84,4.97,5.1,5.3,4.78,4.96,4.69,5.53,5.0,4.71,4.97,5.04
111,498,476,493,503,528,507,493,518,503,520,547,502,442,528,463,508,491,477,496,507,4.98,4.76,4.93,5.03,5.28,5.07,4.93,5.18,5.03,5.2,5.47,5.02,4.42,5.28,4.63,5.08,4.91,4.77,4.96,5.07
112,490,506,499,478,503,482,468,518,471,530,519,514,521,536,519,466,448,487,512,533,4.9,5.06,4.99,4.78,5.03,4.82,4.68,5.18,4.71,5.3,5.19,5.14,5.21,5.36,5.19,4.66,4.48,4.87,5.12,5.33
113,503,509,471,463,536,498,516,489,518,519,477,487,522,514,504,481,501,504,519,469,5.03,5.09,4.71,4.63,5.36,4.98,5.16,4.89,5.18,5.19,4.77,4.87,5.22,5.14,5.04,4.81,5.01,5.04,5.19,4.69
114,487,516,514,534,506,500,459,547,487,494,496,501,513,489,524,497,494,451,496,495,4.87,5.16,5.14,5.34,5.06,5.0,4.59,5.47,4.87,4.94,4.96,5.01,5.13,4.89,5.24,4.97,4.94,4.51,4.96,4.95
115,486,511,447,473,530,477,478,490,473,533,511,515,517,518,486,518,507,519,510,501,4.86,5.11,4.47,4.73,5.3,4.77,4.78,4.9,4.73,5.33,5.11,5.15,5.17,5.18,4.86,5.18,5.07,5.19,5.1,5.01
116,541,549,493,430,485,510,503,492,476,497,477,513,498,491,504,497,508,501,501,534,5.41,5.49,4.93,4.3,4.85,5.1,5.03,4.92,4.76,4.97,4.77,5.13,4.98,4.91,5.04,4.97,5.08,5.01,5.01,5.34
117,494,497,506,494,477,498,492,517,483,540,503,507,515,515,529,497,485,478,493,480,4.94,4.97,5.06,4.94,4.77,4.98,4.92,5.17,4.83,5.4,5.03,5.07,5.15,5.15,5.29,4.97,4.85,4.78,4.93,4.8
118,473,500,518,524,475,462,522,493,493,536,490,498,531,503,513,477,470,541,500,481,4.73,5.0,5.18,5.24,4.75,4.62,5.22,4.93,4.93,5.36,4.9,4.98,5.31,5.03,5.13,4.77,4.7,5.41,5.0,4.81
119,489,509,508,507,504,484,511,490,526,474,547,481,475,463,522,478,531,464,519,518,4.89,5.09,5.08,5.07,5.04,4.84,5.11,4.9,5.26,4.74,5.47,4.81,4.75,4.63,5.22,4.78,5.31,4.64,5.19,5.18
120,529,502,516,518,454,524,518,509,500,517,512,469,482,498,489,470,501,511,478,503,5.29,5.02,5.16,5.18,4.54,5.24,5.18,5.09,5.0,5.17,5.12,4.69,4.82,4.98,4.89,4.7,5.01,5.11,4.78,5.03
121,514,509,542,475,512,507,480,451,474,498,506,499,496,495,515,477,541,533,467,509,5.14,5.09,5.42,4.75,5.12,5.07,4.8,4.51,4.74,4.98,5.06,4.99,4.96,4.95,5.15,4.77,5.41,5.33,4.67,5.09
122,472,474,490,514,495,494,549,510,486,492,501,489,495,497,503,509,513,490,510,517,4.72,4.74,4.9,5.14,4.95,4.94,5.49,5.1,4.86,4.92,5.01,4.89,4.95,4.97,5.03,5.09,5.13,4.9,5.1,5.17
123,457,481,515,497,521,485,493,479,518,513,478,531,481,502,524,513,490,530,473,519,4.57,4.81,5.15,4.97,5.21,4.85,4.93,4.79,5.18,5.13,4.78,5.31,4.81,5.02,5.24,5.13,4.9,5.3,4.73,5.19
124,506,445,493,487,531,494,494,491,514,484,495,491,527,516,516,523,515,496,487,495,5.06,4.45,4.93,4.87,5.31,4.94,4.94,4.91,5.14,4.84,4.95,4.91,5.27,5.16,5.16,5.23,5.15,4.96,4.87,4.95
125,495,473,494,495,482,506,502,490,507,527,476,503,454,509,525,505,501,501,544,511,4.95,4.73,4.94,4.95,4.82,5.06,5.02,4.9,5.07,5.27,4.76,5.03,4.54,5.09,5.25,5.05,5.01,5.01,5.44,5.11
126,554,514,488,508,488,515,520,476,482,507,480,516,551,468,491,492,494,498,468,490,5.54,5.14,4.88,5.08,4.88,5.15,5.2,4.76,4.82,5.07,4.8,5.16,5.51,4.68,4.91,4.92,4.94,4.98,4.68,4.9
127,523,497,465,547,468,477,483,514,502,492,539,465,507,526,505,503,468,501,509,509,5.23,4.97,4.65,5.47,4.68,4.77,4.83,5.14,5.02,4.92,5.39,4.65,5.07,5.26,5.05,5.03,4.68,5.01,5.09,5.09
128,519,458,543,524,542,508,522,473,533,468,476,521,528,501,504,463,481,467,488,481,5.19,4.58,5.43,5.24,5.42,5.08,5.22,4.73,5.33,4.68,4.76,5.21,5.28,5.01,5.04,4.63,4.81,4.67,4.88,4.81
129,517,474,464,493,495,513,492,494,525,494,512,534,536,463,478,485,493,517,489,532,5.17,4.74,4.64,4.93,4.95,5.13,4.92,4.94,5.25,4.94,5.12,5.34,5.36,4.63,4.78,4.85,4.93,5.17,4.89,5.32
130,505,481,479,516,525,546,481,519,461,470,488,519,523,508,484,480,486,492,537,500,5.05,4.81,4.79,5.16,5.25,5.46,4.81,5.19,4.61,4.7,4.88,5.19,5.23,5.08,4.84,4.8,4.86,4.92,5.37,5.0
131,484,529,468,525,519,491,534,512,473,529,508,470,479,485,508,486,500,519,499,482,4.84,5.29,4.68,5.25,5.19,4.91,5.34,5.12,4.73,5.29,5.08,4.7,4.79,4.85,5.08,4.86,5.0,5.19,4.99,4.82
132,518,494,476,508,532,485,508,487,515,491,506,495,493,482,476,503,520,482,523,506,5.18,4.94,4.76,5.08,5.32,4.85,5.08,4.87,5.15,4.91,5.06,4.95,4.93,4.82,4.76,5.03,5.2,4.82,5.23,5.06
133,549,505,519,500,460,513,452,509,518,475,495,487,512,503,496,528,520,458,503,498,5.49,5.05,5.19,5.0,4.6,5.13,4.52,5.09,5.18,4.75,4.95,4.87,5.12,5.03,4.96,5.28,5.2,4.58,5.03,4.98
134,498,551,508,479,524,470,504,516,514,514,493,518,508,507,467,501,461,494,464,509,4.98,5.51,5.08,4.79,5.24,4.7,5.04,5.16,5.14,5.14,4.93,5.18,5.08,5.07,4.67,5.01,4.61,4.94,4.64,5.09
135,498,510,506,544,511,528,480,540,467,507,477,469,503,510,473,492,492,507,501,485,4.98,5.1,5.06,5.44,5.11,5.28,4.8,5.4,4.67,5.07,4.77,4.69,5.03,5.1,4.73,4.92,4.92,5.07,5.01,4.85
136,493,495,538,501,561,507,496,485,486,493,481,520,480,435,517,475,507,550,496,484,4.93,4.95,5.38,5.01,5.61,5.07,4.96,4.85,4.86,4.93,4.81,5.2,4.8,4.35,5.17,4.75,5.07,5.5,4.96,4.84
137,494,548,499,504,499,502,523,507,489,463,474,486,483,541,502,497,490,514,468,517,4.94,5.48,4.99,5.04,4.99,5.02,5.23,5.07,4.89,4.63,4.74,4.86,4.83,5.41,5.02,4.97,4.9,5.14,4.68,5.17
138,504,516,493,537,501,486,524,447,526,498,490,485,512,489,478,486,491,549,492,496,5.04,5.16,4.93,5.37,5.01,4.86,5.24,4.47,5.26,4.98,4.9,4.85,5.12,4.89,4.78,4.86,4.91,5.49,4.92,4.96
139,487,498,522,493,470,520,477,529,432,482,535,508,498,480,536,514,490,489,534,506,4.87,4.98,5.22,4.93,4.7,5.2,4.77,5.29,4.32,4.82,5.35,5.08,4.98,4.8,5.36,5.14,4.9,4.89,5.34,5.06
140,486,481,504,511,545,512,472,509,485,503,515,495,487,551,516,478,481,500,489,480,4.86,4.81,5.04,5.11,5.45,5.12,4.72,5.09,4.85,5.03,5.15,4.95,4.87,5.51,5.16,4.78,4.81,5.0,4.89,4.8
141,508,489,498,491,488,520,497,507,501,520,483,485,486,477,499,535,495,485,529,507,5.08,4.89,4.98,4.91,4.88,5.2,4.97,5.07,5.01,5.2,4.83,4.85,4.86,4.77,4.99,5.35,4.95,4.85,5.29,5.07
142,523,506,516,495,551,493,516,487,456,497,496,497,484,468,518,486,511,510,503,487,5.23,5.06,5.16,4.95,5.51,4.93,5.16,4.87,4.56,4.97,4.96,4.97,4.84,4.68,5.18,4.86,5.11,5.1,5.03,4.87
143,480,478,498,518,493,526,514,501,526,491,474,507,518,488,479,491,482,472,519,545,4.8,4.78,4.98,5.18,4.93,5.26,5.14,5.01,5.26,4.91,4.74,5.07,5.18,4.88,4.79,4.91,4.82,4.72,5.19,5.45
144,482,525,507,465,531,497,531,454,509,488,447,512,500,489,515,501,508,482,507,550,4.82,5.25,5.07,4.65,5.31,4.97,5.31,4.54,5.09,4.88,4.47,5.12,5.0,4.89,5.15,5.01,5.08,4.82,5.07,5.5
145,465,484,507,513,513,487,518,538,508,494,511,499,482,517,485,514,555,482,485,443,4.65,4.84,5.07,5.13,5.13,4.87,5.18,5.38,5.08,4.94,5.11,4.99,4.82,5.17,4.85,5.14,5.55,4.82,4.85,4.43
146,503,503,520,488,497,475,500,452,491,501,507,518,496,533,469,503,495,550,462,537,5.03,5.03,5.2,4.88,4.97,4.75,5.0,4.52,4.91,5.01,5.07,5.18,4.96,5.33,4.69,5.03,4.95,5.5,4.62,5.37
147,492,532,503,496,522,489,508,496,503,458,520,508,537,510,459,481,485,479,517,505,4.92,5.32,5.03,4.96,5.22,4.89,5.08,4.96,5.03,4.58,5.2,5.08,5.37,5.1,4.59,4.81,4.85,4.79,5.17,5.05
148,479,495,502,531,497,527,511,488,507,505,472,474,505,497,519,493,483,485,501,529,4.79,4.95,5.02,5.31,4.97,5.27,5.11,4.88,5.07,5.05,4.72,4.74,5.05,4.97,5.19,4.93,4.83,4.85,5.01,5.29
149,481,472,532,517,453,507,489,492,491,498,520,451,514,530,521,523,521,519,468,501,4.81,4.72,5.32,5.17,4.53,5.07,4.89,4.92,4.91,4.98,5.2,4.51,5.14,5.3,5.21,5.23,5.21,5.19,4.68,5.01
150,488,485,474,506,495,466,517,540,513,496,518,498,501,472,503,471,517,505,489,546,4.88,4.85,4.74,5.06,4.95,4.66,5.17,5.4,5.13,4.96,5.18,4.98,5.01,4.72,5.03,4.71,5.17,5.05,4.89,5.46
151,537,532,517,488,503,458,505,494,489,520,499,468,522,528,469,502,488,518,474,489,5.37,5.32,5.17,4.88,5.03,4.58,5.05,4.94,4.89,5.2,4.99,4.68,5.22,5.28,4.69,5.02,4.88,5.18,4.74,4.89
152,532,466,500,534,533,518,489,487,478,489,485,485,497,509,521,488,515,500,482,492,5.32,4.66,5.0,5.34,5.33,5.18,4.89,4.87,4.78,4.89,4.85,4.85,4.97,5.09,5.21,4.88,5.15,5.0,4.82,4.92
153,480,508,481,500,499,503,493,511,510,493,482,459,539,462,562,502,526,522,501,467,4.8,5.08,4.81,5.0,4.99,5.03,4.93,5.11,5.1,4.93,4.82,4.59,5.39,4.62,5.62,5.02,5.26,5.22,5.01,4.67
154,448,438,520,472,499,475,517,498,513,484,517,532,512,496,495,523,505,540,487,529,4.48,4.38,5.2,4.72,4.99,4.75,5.17,4.98,5.13,4.84,5.17,5.32,5.12,4.96,4.95,5.23,5.05,5.4,4.87,5.29
155,536,522,503,501,486,535,493,502,521,495,480,430,509,502,502,505,503,524,506,445,5.36,5.22,5.03,5.01,4.86,5.35,4.93,5.02,5.21,4.95,4.8,4.3,5.09,5.02,5.02,5.05,5.03,5.24,5.06,4.45
156,528,518,510,452,501,479,505,481,509,498,508,549,491,478,516,515,523,507,461,471,5.28,5.18,5.1,4.52,5.01,4.79,5.05,4.81,5.09,4.98,5.08,5.49,4.91,4.78,5.16,5.15,5.23,5.07,4.61,4.71
157,546,488,523,485,518,495,500,490,481,480,482,526,472,443,522,500,503,504,529,513,5.46,4.88,5.23,4.85,5.18,4.95,5.0,4.9,4.81,4.8,4.82,5.26,4.72,4.43,5.22,5.0,5.03,5.04,5.29,5.13
158,499,490,513,494,507,531,498,501,505,480,483,527,479,528,503,470,489,484,514,505,4.99,4.9,5.13,4.94,5.07,5.31,4.98,5.01,5.05,4.8,4.83,5.27,4.79,5.28,5.03,4.7,4.89,4.84,5.14,5.05
159,517,490,503,504,457,520,487,462,501,513,476,498,524,524,495,546,472,502,531,478,5.17,4.9,5.03,5.04,4.57,5.2,4.87,4.62,5.01,5.13,4.76,4.98,5.24,5.24,4.95,5.46,4.72,5.02,5.31,4.78
160,506,504,510,503,493,481,504,503,489,487,512,500,465,523,477,503,527,525,493,495,5.06,5.04,5.1,5.03,4.93,4.81,5.04,5.03,4.89,4.87,5.12,5.0,4.65,5.23,4.77,5.03,5.27,5.25,4.93,4.95
161,475,494,539,477,489,536,521,445,517,492,476,512,489,520,491,503,490,507,521,506,4.75,4.94,5.39,4.77,4.89,5.36,5.21,4.45,5.17,4.92,4.76,5.12,4.89,5.2,4.91,5.03,4.9,5.07,5.21,5.06
162,538,462,491,484,524,477,497,514,508,522,481,529,462,501,488,477,510,519,495,521,5.38,4.62,4.91,4.84,5.24,4.77,4.97,5.14,5.08,5.22,4.81,5.29,4.62,5.01,4.88,4.77,5.1,5.19,4.95,5.21
163,491,530,507,443,517,484,471,459,543,495,493,548,489,530,519,493,473,518,487,510,4.91,5.3,5.07,4.43,5.17,4.84,4.71,4.59,5.43,4.95,4.93,5.48,4.89,5.3,5.19,4.93,4.73,5.18,4.87,5.1
164,527,534,530,469,450,485,483,498,512,515,472,509,500,510,507,479,485,490,523,522,5.27,5.34,5.3,4.69,4.5,4.85,4.83,4.98,5.12,5.15,4.72,5.09,5.0,5.1,5.07,4.79,4.85,4.9,5.23,5.22
165,489,488,495,491,501,488,495,494,491,524,518,505,501,490,512,500,518,485,504,511,4.89,4.88,4.95,4.91,5.01,4.88,4.95,4.94,4.91,5.24,5.18,5.05,5.01,4.9,5.12,5.0,5.18,4.85,5.04,5.11
166,515,480,499,488,515,510,560,510,490,471,473,554,488,484,491,525,482,503,504,458,5.15,4.8,4.99,4.88,5.15,5.1,5.6,5.1,4.9,4.71,4.73,5.54,4.88,4.84,4.91,5.25,4.82,5.03,5.04,4.58
167,501,523,491,475,480,522,464,488,525,461,499,532,523,495,479,493,522,500,515,512,5.01,5.23,4.91,4.75,4.8,5.22,4.64,4.88,5.25,4.61,4.99,5.32,5.23,4.95,4.79,4.93,5.22,5.0,5.15,5.12
168,509,495,496,503,525,536,547,504,506,495,458,512,482,490,493,478,492,498,499,482,5.09,4.95,4.96,5.03,5.25,5.36,5.47,5.04,5.06,4.95,4.58,5.12,4.82,4.9,4.93,4.78,4.92,4.98,4.99,4.82
169,506,540,484,503,487,495,471,514,473,501,506,527,477,529,502,475,521,486,477,526,5.06,5.4,4.84,5.03,4.87,4.95,4.71,5.14,4.73,5.01,5.06,5.27,4.77,5.29,5.02,4.75,5.21,4.86,4.77,5.26
170,493,519,521,525,501,500,531,532,503,436,477,516,483,463,531,472,487,507,516,487,4.93,5.19,5.21,5.25,5.01,5.0,5.31,5.32,5.03,4.36,4.77,5.16,4.83,4.63,5.31,4.72,4.87,5.07,5.16,4.87
171,451,523,447,513,509,511,489,505,494,485,532,495,513,515,512,523,503,508,480,492,4.51,5.23,4.47,5.13,5.09,5.11,4.89,5.05,4.94,4.85,5.32,4.95,5.13,5.15,5.12,5.23,5.03,5.08,4.8,4.92
172,484,498,493,525,530,508,502,516,505,466,479,542,499,525,500,490,511,490,465,472,4.84,4.98,4.93,5.25,5.3,5.08,5.02,5.16,5.05,4.66,4.79,5.42,4.99,5.25,5.0,4.9,5.11,4.9,4.65,4.72
173,537,513,528,509,471,485,508,449,487,502,483,465,528,507,522,477,505,537,462,525,5.37,5.13,5.28,5.09,4.71,4.85,5.08,4.49,4.87,5.02,4.83,4.65,5.28,5.07,5.22,4.77,5.05,5.37,4.62,5.25
174,516,496,501,507,455,522,493,485,505,527,481,509,497,517,525,476,518,507,508,455,5.16,4.96,5.01,5.07,4.55,5.22,4.93,4.85,5.05,5.27,4.81,5.09,4.97,5.17,5.25,4.76,5.18,5.07,5.08,4.55
175,464,501,497,519,518,519,491,479,498,477,497,481,508,500,552,519,511,525,442,502,4.64,5.01,4.97,5.19,5.18,5.19,4.91,4.79,4.98,4.77,4.97,4.81,5.08,5.0,5.52,5.19,5.11,5.25,4.42,5.02
176,518,498,511,473,474,495,516,525,485,526,485,490,518,532,516,516,492,485,468,477,5.18,4.98,5.11,4.73,4.74,4.95,5.16,5.25,4.85,5.26,4.85,4.9,5.18,5.32,5.16,5.16,4.92,4.85,4.68,4.77
177,487,501,520,492,470,504,506,464,544,488,542,502,478,471,474,488,545,549,481,494,4.87,5.01,5.2,4.92,4.7,5.04,5.06,4.64,5.44,4.88,5.42,5.02,4.78,4.71,4.74,4.88,5.45,5.49,4.81,4.94
178,464,479,548,496,507,486,539,518,492,489,490,518,516,500,495,502,494,499,475,493,4.64,4.79,5.48,4.96,5.07,4.86,5.39,5.18,4.92,4.89,4.9,5.18,5.16,5.0,4.95,5.02,4.94,4.99,4.75,4.93
179,455,488,534,503,528,472,569,527,516,496,450,468,498,495,523,509,512,482,480,495,4.55,4.88,5.34,5.03,5.28,4.72,5.69,5.27,5.16,4.96,4.5,4.68,4.98,4.95,5.23,5.09,5.12,4.82,4.8,4.95
180,493,548,504,516,464,502,478,466,515,474,512,500,477,462,517,471,485,577,525,514,4.93,5.48,5.04,5.16,4.64,5.02,4.78,4.66,5.15,4.74,5.12,5.0,4.77,4.62,5.17,4.71,4.85,5.77,5.25,5.14
181,519,475,507,490,514,497,492,515,460,488,480,510,476,496,538,500,493,538,470,542,5.19,4.75,5.07,4.9,5.14,4.97,4.92,5.15,4.6,4.88,4.8,5.1,4.76,4.96,5.38,5.0,4.93,5.38,4.7,5.42
182,498,481,502,475,515,521,538,497,496,500,503,504,474,496,531,478,487,470,539,495,4.98,4.81,5.02,4.75,5.15,5.21,5.38,4.97,4.96,5.0,5.03,5.04,4.74,4.96,5.31,4.78,4.87,4.7,5.39,4.95
183,476,486,527,499,496,442,461,494,478,527,501,522,523,519,504,514,507,535,480,509,4.76,4.86,5.27,4.99,4.96,4.42,4.61,4.94,4.78,5.27,5.01,5.22,5.23,5.19,5.04,5.14,5.07,5.35,4.8,5.09
184,464,518,499,527,538,489,505,500,512,507,471,495,498,502,482,539,506,489,493,466,4.64,5.18,4.99,5.27,5.38,4.89,5.05,5.0,5.12,5.07,4.71,4.95,4.98,5.02,4.82,5.39,5.06,4.89,4.93,4.66
185,510,478,490,537,539,500,514,486,485,490,511,478,459,526,493,504,508,498,471,523,5.1,4.78,4.9,5.37,5.39,5.0,5.14,4.86,4.85,4.9,5.11,4.78,4.59,5.26,4.93,5.04,5.08,4.98,4.71,5.23
186,530,503,478,522,508,485,473,501,501,520,508,551,449,487,492,479,458,527,490,538,5.3,5.03,4.78,5.22,5.08,4.85,4.73,5.01,5.01,5.2,5.08,5.51,4.49,4.87,4.92,4.79,4.58,5.27,4.9,5.38
187,516,490,481,476,497,505,488,498,481,510,540,509,518,494,481,503,534,501,473,505,5.16,4.9,4.81,4.76,4.97,5.05,4.88,4.98,4.81,5.1,5.4,5.09,5.18,4.94,4.81,5.03,5.34,5.01,4.73,5.05
188,492,519,457,513,536,484,520,505,493,481,533,499,488,470,519,508,520,467,499,497,4.92,5.19,4.57,5.13,5.36,4.84,5.2,5.05,4.93,4.81,5.33,4.99,4.88,4.7,5.19,5.08,5.2,4.67,4.99,4.97
188,528,510,515,507,516,491,508,485,497,492,466,508,494,461,526,510,483,484,503,516,5.28,5.1,5.15,5.07,5.16,4.91,5.08,4.85,4.97,4.92,4.66,5.08,4.94,4.61,5.26,5.1,4.83,4.84,5.03,5.16
189,490,496,501,439,483,556,512,467,491,526,507,531,492,504,493,529,470,482,526,505,4.9,4.96,5.01,4.39,4.83,5.56,5.12,4.67,4.91,5.26,5.07,5.31,4.92,5.04,4.93,5.29,4.7,4.82,5.26,5.05
190,506,500,482,484,486,465,492,521,517,517,511,507,529,503,491,513,483,500,498,495,5.06,5.0,4.82,4.84,4.86,4.65,4.92,5.21,5.17,5.17,5.11,5.07,5.29,5.03,4.91,5.13,4.83,5.0,4.98,4.95
191,515,495,517,540,502,539,500,474,469,515,448,503,504,478,498,493,504,533,493,480,5.15,4.95,5.17,5.4,5.02,5.39,5.0,4.74,4.69,5.15,4.48,5.03,5.04,4.78,4.98,4.93,5.04,5.33,4.93,4.8
192,466,487,497,544,468,491,525,496,496,520,498,524,508,484,490,477,504,497,511,517,4.66,4.87,4.97,5.44,4.68,4.91,5.25,4.96,4.96,5.2,4.98,5.24,5.08,4.84,4.9,4.77,5.04,4.97,5.11,5.17
193,523,500,517,501,485,480,484,482,487,514,494,512,445,509,490,567,504,525,490,491,5.23,5.0,5.17,5.01,4.85,4.8,4.84,4.82,4.87,5.14,4.94,5.12,4.45,5.09,4.9,5.67,5.04,5.25,4.9,4.91
194,516,516,461,484,488,470,471,510,489,503,489,521,520,503,524,503,498,509,498,527,5.16,5.16,4.61,4.84,4.88,4.7,4.71,5.1,4.89,5.03,4.89,5.21,5.2,5.03,5.24,5.03,4.98,5.09,4.98,5.27
195,528,485,538,446,484,537,491,518,484,467,526,512,511,478,523,478,492,487,511,504,5.28,4.85,5.38,4.46,4.84,5.37,4.91,5.18,4.84,4.67,5.26,5.12,5.11,4.78,5.23,4.78,4.92,4.87,5.11,5.04
196,479,524,536,483,487,496,504,467,496,508,535,485,476,495,534,466,537,513,474,505,4.79,5.24,5.36,4.83,4.87,4.96,5.04,4.67,4.96,5.08,5.35,4.85,4.76,4.95,5.34,4.66,5.37,5.13,4.74,5.05
197,521,487,488,505,476,489,520,515,473,483,479,472,544,509,545,503,503,506,483,499,5.21,4.87,4.88,5.05,4.76,4.89,5.2,5.15,4.73,4.83,4.79,4.72,5.44,5.09,5.45,5.03,5.03,5.06,4.83,4.99
198,505,495,475,564,474,486,504,499,518,466,516,467,482,541,486,516,507,523,486,490,5.05,4.95,4.75,5.64,4.74,4.86,5.04,4.99,5.18,4.66,5.16,4.67,4.82,5.41,4.86,5.16,5.07,5.23,4.86,4.9
199,478,506,519,527,492,477,459,505,493,489,490,568,502,489,499,505,500,520,484,498,4.78,5.06,5.19,5.27,4.92,4.77,4.59,5.05,4.93,4.89,4.9,5.68,5.02,4.89,4.99,5.05,5.0,5.2,4.84,4.98
200,532,478,508,499,520,486,521,504,514,523,522,482,488,476,489,492,526,477,465,498,5.32,4.78,5.08,4.99,5.2,4.86,5.21,5.04,5.14,5.23,5.22,4.82,4.88,4.76,4.89,4.92,5.26,4.77,4.65,4.98
201,489,524,503,515,504,507,472,496,511,468,494,495,537,489,490,478,511,515,498,504,4.89,5.24,5.03,5.15,5.04,5.07,4.72,4.96,5.11,4.68,4.94,4.95,5.37,4.89,4.9,4.78,5.11,5.15,4.98,5.04
202,495,495,518,502,541,478,465,465,495,514,493,484,549,530,492,501,526,481,475,501,4.95,4.95,5.18,5.02,5.41,4.78,4.65,4.65,4.95,5.14,4.93,4.84,5.49,5.3,4.92,5.01,5.26,4.81,4.75,5.01
203,522,521,513,477,500,502,495,496,476,498,485,504,524,474,487,522,494,474,519,517,5.22,5.21,5.13,4.77,5.0,5.02,4.95,4.96,4.76,4.98,4.85,5.04,5.24,4.74,4.87,5.22,4.94,4.74,5.19,5.17
204,519,498,483,477,510,473,457,508,498,528,498,465,541,542,525,519,472,518,464,505,5.19,4.98,4.83,4.77,5.1,4.73,4.57,5.08,4.98,5.28,4.98,4.65,5.41,5.42,5.25,5.19,4.72,5.18,4.64,5.05
205,520,539,479,482,530,520,490,497,507,514,525,493,489,462,507,480,503,469,502,492,5.2,5.39,4.79,4.82,5.3,5.2,4.9,4.97,5.07,5.14,5.25,4.93,4.89,4.62,5.07,4.8,5.03,4.69,5.02,4.92
206,480,478,535,524,505,473,488,481,531,478,516,526,499,478,504,527,484,533,475,485,4.8,4.78,5.35,5.24,5.05,4.73,4.88,4.81,5.31,4.78,5.16,5.26,4.99,4.78,5.04,5.27,4.84,5.33,4.75,4.85
207,488,524,498,504,520,503,482,509,503,518,496,493,489,543,498,474,482,498,483,495,4.88,5.24,4.98,5.04,5.2,5.03,4.82,5.09,5.03,5.18,4.96,4.93,4.89,5.43,4.98,4.74,4.82,4.98,4.83,4.95
208,487,483,522,478,500,472,525,495,512,517,497,521,505,518,498,475,517,490,482,506,4.87,4.83,5.22,4.78,5.0,4.72,5.25,4.95,5.12,5.17,4.97,5.21,5.05,5.18,4.98,4.75,5.17,4.9,4.82,5.06
209,496,535,520,506,514,504,487,487,492,480,448,512,498,490,533,492,457,486,513,550,4.96,5.35,5.2,5.06,5.14,5.04,4.87,4.87,4.92,4.8,4.48,5.12,4.98,4.9,5.33,4.92,4.57,4.86,5.13,5.5
210,469,460,485,502,509,482,511,491,515,508,530,502,516,483,481,513,489,520,552,482,4.69,4.6,4.85,5.02,5.09,4.82,5.11,4.91,5.15,5.08,5.3,5.02,5.16,4.83,4.81,5.13,4.89,5.2,5.52,4.82
211,515,477,471,526,469,466,492,497,523,500,502,496,554,501,511,518,495,505,477,505,5.15,4.77,4.71,5.26,4.69,4.66,4.92,4.97,5.23,5.0,5.02,4.96,5.54,5.01,5.11,5.18,4.95,5.05,4.77,5.05
212,516,518,493,492,498,493,451,505,520,484,470,510,489,515,519,489,533,477,520,508,5.16,5.18,4.93,4.92,4.98,4.93,4.51,5.05,5.2,4.84,4.7,5.1,4.89,5.15,5.19,4.89,5.33,4.77,5.2,5.08
213,449,515,492,519,469,484,486,517,484,506,492,517,542,505,525,508,493,498,482,517,4.49,5.15,4.92,5.19,4.69,4.84,4.86,5.17,4.84,5.06,4.92,5.17,5.42,5.05,5.25,5.08,4.93,4.98,4.82,5.17
214,534,535,498,485,494,485,508,524,480,512,487,505,505,480,517,493,462,525,477,494,5.34,5.35,4.98,4.85,4.94,4.85,5.08,5.24,4.8,5.12,4.87,5.05,5.05,4.8,5.17,4.93,4.62,5.25,4.77,4.94
215,526,495,502,474,482,485,510,539,520,483,503,492,516,488,481,479,489,526,518,492,5.26,4.95,5.02,4.74,4.82,4.85,5.1,5.39,5.2,4.83,5.03,4.92,5.16,4.88,4.81,4.79,4.89,5.26,5.18,4.92
216,519,498,514,540,490,528,486,459,496,477,457,479,521,468,558,513,508,483,505,501,5.19,4.98,5.14,5.4,4.9,5.28,4.86,4.59,4.96,4.77,4.57,4.79,5.21,4.68,5.58,5.13,5.08,4.83,5.05,5.01
